jurisdiction,prisoner_count_per_capita,violent_crime_total_per_capita,murder_manslaughter_per_capita,rape_revised_per_capita,robbery_per_capita,agg_assault_per_capita,property_crime_total_per_capita,burglary_per_capita,larceny_per_capita,vehicle_theft_per_capita
ALABAMA,0.004885254637082879,0.0053240943145264575,8.373546587882634e-05,0.0003939887399458291,0.0009642951562016193,0.0038820749525001826,0.029473855298119862,0.007004358564728853,0.020059067450255062,0.0024104292831359448
ALASKA,0.005904072974234075,0.008045614290607695,7.012603806765005e-05,0.0014200522708699135,0.001146291006875049,0.0054091449747950835,0.03354721774943967,0.005465785236311262,0.023958830621343668,0.004122601891784735
ARIZONA,0.006115239434899073,0.004710332363436982,5.630629000605329e-05,0.00047824159943444746,0.0010197373087214535,0.003156047165275028,0.03000835764829036,0.005531622567792629,0.021801390200852786,0.0026753448796449433
ARKANSAS,0.005298452495807721,0.005542744185439479,7.261821458916663e-05,0.000740906576499608,0.0007111230691335442,0.00401809632521716,0.032826110163504764,0.007969263420398222,0.022451744861759347,0.0024051018813471916
CALIFORNIA,0.0032933232995243644,0.004448134229644409,4.911381875565636e-05,0.00034868266559067536,0.0013942471584474903,0.0026560905868505866,0.02550025096397957,0.004791880065785034,0.016210359422559925,0.0044980114756346095
COLORADO,0.0035236220650421645,0.0034411643178565324,3.417656626772909e-05,0.0006573112083766944,0.0006374200851520902,0.0021122564580600186,0.02751231667391487,0.004308236462056326,0.019652429745908983,0.0035516504659495614
CONNECTICUT,0.004192118315849915,0.002276955752804385,2.201977040905208e-05,0.00022047643536152143,0.0007556404756827871,0.0012788190713510243,0.018082691206167765,0.0028171369560036626,0.013279315213013405,0.0019862390371506973
DELAWARE,0.0066484867187713214,0.005100252126067233,6.0879733136838745e-05,0.0003264413276820147,0.0014264751264304112,0.0032864559388179676,0.027679285565835134,0.005277643072621125,0.020795677119087055,0.0016059653741269532
FLORIDA,0.004744733024411726,0.004294029377260689,5.378429129804538e-05,0.0003678245232066146,0.0009766859378380428,0.0028957346249179864,0.026810428381955995,0.004856803802409004,0.019865428895351502,0.0020881956841954886
GEORGIA,0.005180819149823244,0.003904351721316085,6.612615163250149e-05,0.0003278189423306269,0.0011745633443931423,0.002335843282959814,0.029796036697105382,0.006080794134358257,0.021149412136572805,0.002565830426174321
HAWAII,0.0036271167221839976,0.0024162112938979465,2.4498086699428776e-05,0.00042066714589590555,0.0006894461542553527,0.0012815999070472596,0.029644784742311626,0.004187772934933782,0.021608012414230448,0.0038489993931473954
IDAHO,0.0042981477667607525,0.002307107151913125,2.916621528476345e-05,0.00042796956713765145,0.00012678375215621662,0.0017231876173344936,0.017474134328873483,0.0037606560850843977,0.012477187853045132,0.0012362903907439527
ILLINOIS,0.003398015819284394,0.0043670299599726575,8.265991343224373e-05,0.000389771486240825,0.001389013757383104,0.002505584802916485,0.020509630697944158,0.0037545986880679755,0.015207242660056783,0.0015477893498194025
INDIANA,0.0037900171042930765,0.003996981010119525,6.496827633736292e-05,0.00036915848897958655,0.001099034113168708,0.0024638201316338677,0.025393401001837953,0.005059837892845154,0.01815705048246105,0.0021765126265317477
IOWA,0.002890251875757178,0.002928899292816148,2.3316210291775223e-05,0.000408193380176558,0.00036731016213070554,0.002130079540217109,0.021044636489102545,0.004888738557889199,0.01455825842601527,0.0015976395051980777
KANSAS,0.0033197706390309147,0.004011719103314578,4.539622131483277e-05,0.000556447621874238,0.000604251218561827,0.0028056240415636796,0.028301448792890403,0.005075779018072855,0.02067557143353357,0.002550098341283977
KENTUCKY,0.0026750896561922566,0.0023561167174956997,5.973698145200539e-05,0.00039403865501171857,0.000759899488583812,0.0011424415924481636,0.022026715730640765,0.004718545266993875,0.01506566672219576,0.002242503741451131
LOUISIANA,0.0032135073579481013,0.005650045442352871,0.00011843393211110938,0.0003881645450632576,0.0011896741829179006,0.003953772782260603,0.03297179330526058,0.007402440848652745,0.023364987558035295,0.0022043648985725405
MAINE,0.0017711196242459963,0.0012396333872587639,1.503497134334462e-05,0.0003104721582400664,0.0002014686160008179,0.000712657641674535,0.016469307609499696,0.003007746017236091,0.012878204704141834,0.0005833568881217713
MARYLAND,0.0033588104539406765,0.004816629796545982,8.896631761772103e-05,0.0003032489968051797,0.0017950946362605465,0.002629319845862535,0.023190332149771477,0.004121663431125464,0.0167633456115704,0.0023053231070756107
MASSACHUSETTS,0.0013244972940716657,0.003806574155068767,1.978392727369715e-05,0.00031375843179989334,0.0007862279246176683,0.002686803871377508,0.015597062072145096,0.0028143002915857786,0.011599976024811097,0.00118278575574822
MICHIGAN,0.0041397521202362324,0.00460887436332511,6.16100456588827e-05,0.0007316696272038553,0.0007170724758631069,0.0030985222145992653,0.019152368589145055,0.004000424827439021,0.013112168034352634,0.0020397757273534003
MINNESOTA,0.0017210703975529633,0.0024189826336413244,1.8280377553144315e-05,0.00042515452348847524,0.0006751070126062207,0.0013004407199934842,0.021307137491968397,0.0033632274821042345,0.01636564374983032,0.0015782662600338458
MISSISSIPPI,0.004595675978046603,0.002817363750098395,7.938594801727732e-05,0.00042942103526645375,0.0008149620739495179,0.0014935946928651461,0.027641383191281614,0.007867917860665938,0.0183307848322595,0.001442680498356175
MISSOURI,0.005323602535864996,0.005207532995270535,8.832448775080543e-05,0.000419787574681802,0.001079594482247763,0.003619826450590165,0.02801774238669183,0.005206876307629266,0.01980717680789391,0.0030036892711686543
MONTANA,0.0030799417709039376,0.0037413734672499845,3.562295890073326e-05,0.0005757440384496888,0.0002580257563620679,0.002871980713537495,0.027108108940785015,0.0038183960810894077,0.020629544334216526,0.0026601685254790805
NEBRASKA,0.002708634867946842,0.0029675986041120717,2.5686686380761616e-05,0.0005808336430588545,0.0004959103125755202,0.0018651679620969354,0.022644648807954276,0.0033859246394559034,0.016779696823710173,0.0024790273447881975
NEVADA,0.004739978239376386,0.0067785907580631,7.75707033145145e-05,0.0005882445001350683,0.0021563294631903197,0.003956446091423198,0.025830363758967412,0.006401624357745196,0.014952433508638587,0.004476305892583628
NEW HAMPSHIRE,0.0019467946053040603,0.0019984794178342564,1.42320498271555e-05,0.0004561746497230368,0.00032284281450021163,0.0012052299037838526,0.015223049928277959,0.0022389261543877786,0.012324955150316664,0.0006591686235735179
NEW JERSEY,0.002167197421015021,0.002434839285682463,4.210096747577746e-05,0.00016194393309465724,0.0009957212942683876,0.001235073090843641,0.015371531013933862,0.002809961133456057,0.011300322907737846,0.0012612469727399577
NEW MEXICO,0.0033547006087947247,0.00699375477119369,6.665285657839719e-05,0.0007322223884547662,0.0013124379025544828,0.004882441623606044,0.03928682402495023,0.008286052961688514,0.025369803474771652,0.0056309675884900585
